ID,Aadhaar,FirstName,LastName,MotherName,FatherName,Sex,Birthday,Age,District ID,Phone,Voter ID,Def_Password
1,3591 4628 3661,Akash,Singh,Aishwarya,Bhavesh,M,03-09-1963,62,234,"9623412913 , 9862280999",ABC659753,ABC@3661
2,5773 7940 7366,Dipti,Kumar,Gayatri,Dheeraj,F,23-08-2005,20,235,"9222325956 , 9234010331",JID563930,JID@7366
3,7820 3429 4038,Shlok,Agarwal,Aparna,Girish,M,12-10-1981,44,234,"9722768470 , 9879630940",KOF752745,KOF@4038
4,6169 5028 5641,Rashid,Khan,Indira,Abhay,M,19-02-1991,35,235,"9414321457 , 9747286739",KFL505615,KFL@5641
5,7367 4166 6818,Nicole,Dias,Juhi,Deepak,F,27-12-1981,44,234,"9913542379 , 9525504465",OKF618375,OKF@6818
6,5698 6323 9187,Muskan,Gupta,Latika,Harmeet,F,20-11-1998,27,235,"9406269045 , 9277475895",LPK191656,LPK@9187
7,3552 8455 9830,Saima,Shaikh,Anushree,Bipin,F,16-02-1960,66,234,"9251125952 , 9910885497",JIJ1026650,JIJ@9830
8,4616 8141 8774,Mayur,Chauhan,Mallika,Mahendra,M,11-10-1974,51,235,"9445560413 , 9668871603",PLD990405,PLD@8774
9,5629 4547 8360,Aniket,Mali,Namrata,Aditya,M,14-12-1972,53,234,"9353628848 , 9175176908",KPF247360,KPF@8360
10,9159 9075 6877,Priti,Krishna,Niharika,Rakesh,F,17-03-1979,46,235,"9357732303 , 9158939331",KLP662421,KLP@6877
11,9996 7085 3995,Bhavna,Wadhwani,Arpita,Mehul,F,05-07-1979,46,234,"9600223943 , 9679375394",OKF192549,OKF@3995
12,3904 9051 4118,Shrishti,Shetty,Pallavi,Mukesh,F,17-01-1986,40,235,"9661640359 , 9523233324",PXS330426,PXS@4118
13,6219 8659 3521,Harsh,Chougle,Rashmi,Akshat,M,19-10-1995,30,234,"9978862736 , 9528643854",DKS350620,DKS@3521
14,8683 3592 5077,Rehmat,Khan,Saloni,Nitish,M,15-06-1965,60,235,"9673536403 , 9357442008",DKM595147,DKM@5077
15,6179 3483 8162,Joey,Dsouza,Priyanka,Prakash,M,30-07-1994,31,234,"9533089508 , 9137520712",UHD596266,UHD@8162
